Grip Name,20mm moon
Assessment Date,2026-09-11 13:20:42
Body Weight,65.0,kg

Hand,Critical Force,Max Force,W' (Work Prime),Unit
"Left",18.673802819893275,39.322653329613686,762.5901463956956,"kg"

Hand,Weight,Weight Unit,Timestamp Ms,Relative Ms
"Left",32.06913571029595,"kg",1789125391709,3371
"Left",32.52967285580823,"kg",1789125391721,3383
"Left",33.05352062073409,"kg",1789125391733,3395
"Left",33.59713223629472,"kg",1789125391745,3407
"Left",34.091354994495624,"kg",1789125391757,3419
"Left",34.48706344379004,"kg",1789125391770,3432
"Left",34.90629535215443,"kg",1789125391782,3444
"Left",35.38399178474728,"kg",1789125391794,3456
"Left",35.79435006915966,"kg",1789125391806,3468
"Left",36.042153143105466,"kg",1789125391818,3480
"Left",36.1210081276826,"kg",1789125391830,3492
"Left",36.068483440103265,"kg",1789125391842,3504
"Left",36.05357351081874,"kg",1789125391855,3517
"Left",35.98890345449723,"kg",1789125391867,3529
"Left",35.972452713537926,"kg",1789125391879,3541
"Left",36.08303082312527,"kg",1789125391891,3553
"Left",36.16469566707575,"kg",1789125391903,3565
"Left",36.25506194933458,"kg",1789125391915,3577
"Left",36.34841950204202,"kg",1789125391928,3590
"Left",36.38743939693737,"kg",1789125391940,3602
"Left",36.43710937540743,"kg",1789125391952,3614
"Left",36.39496240072283,"kg",1789125391964,3626
"Left",36.294172393219576,"kg",1789125391976,3638
"Left",36.29340196696431,"kg",1789125391988,3650
"Left",36.27708706144364,"kg",1789125392001,3663
"Left",36.13229256026832,"kg",1789125392013,3675
"Left",35.91970162143873,"kg",1789125392025,3687
"Left",35.95509560277428,"kg",1789125392037,3699
"Left",36.18132776121664,"kg",1789125392049,3711
"Left",36.38077746101263,"kg",1789125392061,3723
"Left",36.487776441635404,"kg",1789125392073,3735
"Left",36.44816729859296,"kg",1789125392086,3748
"Left",36.339718206540056,"kg",1789125392098,3760
"Left",36.24137556878094,"kg",1789125392110,3772
"Left",36.23385259334259,"kg",1789125392122,3784
"Left",36.23226642399928,"kg",1789125392134,3796
"Left",36.263989822564184,"kg",1789125392146,3808
"Left",36.28542579011706,"kg",1789125392159,3821
"Left",36.2725551444009,"kg",1789125392171,3833
"Left",36.19007434204397,"kg",1789125392183,3845
"Left",36.13745892802987,"kg",1789125392195,3857
"Left",36.21749239249917,"kg",1789125392207,3869
"Left",36.297843247930196,"kg",1789125392219,3881
"Left",36.29788856712629,"kg",1789125392232,3894
"Left",36.23231174312235,"kg",1789125392244,3906
"Left",36.28973111265338,"kg",1789125392256,3918
"Left",36.53934996054555,"kg",1789125392268,3930
"Left",36.89161970749909,"kg",1789125392280,3942
"Left",37.097009856139636,"kg",1789125392292,3954
"Left",37.12809945488717,"kg",1789125392304,3966
"Left",37.03958933480644,"kg",1789125392317,3979
"Left",36.83193349256928,"kg",1789125392329,3991
"Left",36.6473917109536,"kg",1789125392341,4003
"Left",36.49217242442881,"kg",1789125392353,4015
"Left",36.328614993625486,"kg",1789125392365,4027
"Left",36.10854540453609,"kg",1789125392377,4039
"Left",35.822492955180365,"kg",1789125392390,4052
"Left",35.681869352531564,"kg",1789125392402,4064
"Left",35.712414045697784,"kg",1789125392414,4076
"Left",35.77531624401044,"kg",1789125392426,4088
"Left",35.78900246978483,"kg",1789125392438,4100
"Left",35.65640035247725,"kg",1789125392450,4112
"Left",35.39776851904857,"kg",1789125392463,4125
"Left",35.28945813044834,"kg",1789125392475,4137
"Left",35.28682968095089,"kg",1789125392487,4149
"Left",35.349957832114896,"kg",1789125392499,4161
"Left",35.36282819180262,"kg",1789125392511,4173
"Left",35.422421633768465,"kg",1789125392523,4185
"Left",35.59803017603939,"kg",1789125392535,4197
"Left",35.78193276319299,"kg",1789125392548,4210
"Left",35.87755517868919,"kg",1789125392560,4222
"Left",35.99746871891589,"kg",1789125392572,4234
"Left",36.15019357415039,"kg",1789125392584,4246
"Left",36.236481102675775,"kg",1789125392596,4258
"Left",36.29847771667926,"kg",1789125392608,4270
"Left",36.33826799080393,"kg",1789125392621,4283
"Left",36.461173958001396,"kg",1789125392633,4295
"Left",36.69592901778518,"kg",1789125392645,4307
"Left",36.81942523102998,"kg",1789125392657,4319
"Left",36.810497235148574,"kg",1789125392669,4331
"Left",36.81181150852889,"kg",1789125392681,4343
"Left",36.78874375097999,"kg",1789125392694,4356
"Left",36.736626076521915,"kg",1789125392706,4368
"Left",36.786115205776206,"kg",1789125392718,4380
"Left",36.91890227432846,"kg",1789125392730,4392
"Left",37.018742125832446,"kg",1789125392742,4404
"Left",36.935489358965114,"kg",1789125392754,4416
"Left",36.65237686582068,"kg",1789125392766,4428
"Left",36.42922380907492,"kg",1789125392779,4441
"Left",36.52389602574928,"kg",1789125392791,4453
"Left",36.78742947835642,"kg",1789125392803,4465
"Left",36.967213310561306,"kg",1789125392815,4477
"Left",36.955611405332604,"kg",1789125392827,4489
"Left",36.68450846973267,"kg",1789125392839,4501
"Left",36.36346549656977,"kg",1789125392852,4514
"Left",36.2590953537499,"kg",1789125392864,4526
"Left",36.23448706109709,"kg",1789125392876,4538
"Left",36.167460129121686,"kg",1789125392888,4550
"Left",36.09331822793369,"kg",1789125392900,4562
"Left",35.95409858880072,"kg",1789125392912,4574
"Left",35.669134850562195,"kg",1789125392925,4587
"Left",35.2555148899975,"kg",1789125392937,4599
"Left",34.860751098685824,"kg",1789125392949,4611
"Left",34.716913145506936,"kg",1789125392961,4623
"Left",34.72470775451631,"kg",1789125392973,4635
"Left",34.60506972405807,"kg",1789125392985,4647
"Left",34.28268312035728,"kg",1789125392997,4659
"Left",34.0370201326598,"kg",1789125393010,4672
"Left",33.95350137102931,"kg",1789125393022,4684
"Left",33.83708291304514,"kg",1789125393034,4696
"Left",33.545743531964135,"kg",1789125393046,4708
"Left",33.176915723036885,"kg",1789125393058,4720
"Left",32.903842757722124,"kg",1789125393070,4732
"Left",32.84425270410463,"kg",1789125393083,4745
"Left",33.05447225265284,"kg",1789125393095,4757
"Left",33.49453615082244,"kg",1789125393107,4769
"Left",34.00937690066986,"kg",1789125393119,4781
"Left",34.49064350673599,"kg",1789125393131,4793
"Left",34.91146156902728,"kg",1789125393143,4805
"Left",35.27953346854495,"kg",1789125393156,4818
"Left",35.41820703776693,"kg",1789125393168,4830
"Left",35.28234318994387,"kg",1789125393180,4842
"Left",34.963531631686294,"kg",1789125393192,4854
"Left",34.56342307789896,"kg",1789125393204,4866
"Left",34.11745750390042,"kg",1789125393216,4878
"Left",33.589428458562125,"kg",1789125393228,4890
"Left",33.14850264599953,"kg",1789125393241,4903
"Left",32.76871165797689,"kg",1789125393253,4915
"Left",32.54417375335042,"kg",1789125393265,4927
"Left",32.47030985280415,"kg",1789125393277,4939
"Left",32.52260366986809,"kg",1789125393289,4951
"Left",32.80052316942793,"kg",1789125393301,4963
